event_id,symbol,asset,launch_ts,classification,blocking,coverage_score,venue_precedence,timestamp_gap_min,reasons
e3fdaf3c4fc6fe49ad83a2b2,LUNA2USDT,LUNA2,2022-09-10T03:00:00+00:00,BAD_TIMESTAMP,True,76,OTHER_VENUE_FIRST,180.0,announced time and first traded bar disagree by +180 min
27b63ec2126b71570873365d,BLURUSDT,BLUR,2023-04-28T12:00:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
771eb47c3fcc81c52c724335,1000PEPEUSDT,1000PEPE,2023-05-05T16:30:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
8f9346145d6137459b8f23c9,ARKUSDT,ARK,2023-09-19T16:03:00+00:00,BAD_TIMESTAMP,True,89,OTHER_VENUE_FIRST,93.0,announced time and first traded bar disagree by +93 min
6c20de43f56e37f8ca8be6d0,BIGTIMEUSDT,BIGTIME,2023-10-12T14:30:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
525708299058a330fb701cef,ORBSUSDT,ORBS,2023-10-17T06:00:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
b6b050a77e7ba560ac45accb,BSVUSDT,BSV,2023-10-20T12:30:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
0203a2e2313bf3decb1ca01a,TOKENUSDT,TOKEN,2023-11-03T15:00:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
3c3028d3750531b66a53cf7c,KASUSDT,KAS,2023-11-17T02:00:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
b4883000a6fb5da32096f7b6,ETHWUSDT,ETHW,2023-11-28T12:30:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
bd02f81f806b61964ad28fa1,1000SATSUSDT,1000SATS,2023-12-12T14:00:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
8c5cf6e313e24b24e0ae548e,1000RATSUSDT,1000RATS,2023-12-15T14:00:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
7f4b196e58663442894e9aef,WIFUSDT,WIF,2024-01-18T14:15:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
7ae90f464d9d3ad74c14c360,ONDOUSDT,ONDO,2024-01-20T13:00:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
d588cda01954d01fe6318c95,ZETAUSDT,ZETA,2024-02-02T08:30:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
3996d75d68d7fe9f1b79b94a,TONUSDT,TON,2024-03-01T12:31:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,79,UNKNOWN_PRECEDENCE,1.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
16d2301813546604bccc72c1,MYROUSDT,MYRO,2024-03-05T08:30:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
f43f9a7538849c554a17a309,BOMEUSDT,BOME,2024-03-16T12:30:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
37579a9fb49ede269bf8f628,MEWUSDT,MEW,2024-06-17T14:00:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
4504cb146c6018bec3d3d9ec,BRETTUSDT,BRETT,2024-08-20T10:35:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
9101807195e525fff9bdf472,NEIROETHUSDT,NEIROETH,2024-09-06T14:00:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,79,UNKNOWN_PRECEDENCE,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
e0a50e3cea619eac2465defc,UXLINKUSDT,UXLINK,2024-09-15T15:00:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,79,UNKNOWN_PRECEDENCE,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
ad82dcce37e5348b048e282d,1000CATUSDT,1000CAT,2024-10-21T12:30:00+00:00,INSUFFICIENT_EXECUTION_DATA,True,89,OTHER_VENUE_FIRST,0.0,the fee actually charged on this account is unknown (published schedule only); capacity has not been measured (depth archives exist; nothing has been derived from them)
